channel,countsA,countsB,sizeA,sizeB,cvA,cvB,rcs,linearity,pg,ploidy,
MORG1+S 2018-04-25 368.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
MORG10+S 2018-04-25 372.LMD,491.947255671907,838.884868698437,90.8798097180751,172.418276422841,0.058214046049379,0.033129945462927,1.25756629610422,NA,1.31772297582885,,
MORG18+S 2018-04-25 373.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
MORG20+S 2018-04-25 374.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
MORG21+S 2018-04-25 375.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
MORG5+S 2018-04-25 369.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
MORG6+S 2018-04-25 370.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
MORG7+S 2018-04-25 371.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
MOSJ1+S 2018-04-25 386.LMD,18.5634788700042,522.213879039308,136.089716324717,178.952481703544,0.017016760734722,0.030016109290008,1.75699806765211,NA,1.90119906453945,triploid,
MOSJ11+S 2018-04-25 387.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
MOSJ12+S 2018-04-25 388.LMD,237.919276450422,3084.27608599421,142.073069409349,201.060340502997,0.026899996520329,0.032530847256368,2.8398428436127,NA,1.76654765745848,triploid,
MOSJ13+S 2018-04-25 389.LMD,1374.58537854642,2313.31870610832,133.263736818703,181.182572644575,0.205953114018991,0.052616463067602,1.37359881243714,NA,1.8388045670392,triploid,
MOSJ16+S 2018-04-25 390.LMD,1751.63150020979,2283.97148914942,130.369837816659,178.998498201788,0.456861989116861,0.041224323672572,1.31786633892197,NA,1.82082306732109,triploid,
MOSJ18+S 2018-04-25 391.LMD,0,1947.77384444054,122.910225724062,170.391572820843,0.026813315169418,0.05021902436167,2.48608765488212,NA,1.80334953908336,triploid,
MOSJ19+S 2018-04-25 392.LMD,91.9719670034126,3097.90559542694,133.134894656302,174.572006934133,0.026640924091413,0.044382827561113,3.23256221109926,NA,1.90658996528772,triploid,
MOSJ20+S 2018-04-25 393.LMD,755.967106574672,1664.49841857367,129.084695504085,173.645473283026,0.040851897124451,0.04023242729793,4.53909265218405,1.9716914922607,1.85845177912713,triploid,
Celt_ILLG1 + petunia 2017-08-10 870.LMD,418.813493959525,1054.66406539973,54.1821661217165,133.173512263018,0.087247578408804,0.030223349214331,0.999747290882915,2.42090429480842,1.22056177390681,,
Celt_ILLG10 + petunia 2017-08-10 879.LMD,348.926036808924,807.903926211686,62.6991996107524,163.629353551422,0.10220706278124,0.028880445828726,1.11572252739837,2.5,1.14953457157763,,
Celt_ILLG11 + petunia 2017-08-10 880.LMD,1412.83351508366,2199.13226260915,66.6678137677072,174.582369192983,0.130726259957487,0.060483876686772,1.45785550947061,1.93428938473233,1.14561076371943,,
Celt_ILLG12 + petunia 2017-08-10 881.LMD,1256.59768572468,1256.07044743188,55.7566975426312,161.267538240758,0.048932025148844,0.035421458004828,2.97046454629689,2.03746617940533,1.03722109516036,,
Celt_ILLG13 + petunia 2017-08-10 882.LMD,1544.71415219689,2763.3647845702,65.4431808786418,160.626669212274,0.089652660469875,0.041724072322777,2.12814783903287,NA,1.22227238850648,,
Celt_ILLG14 + petunia 2017-08-10 883.LMD,1796.84478187689,1392.36438946873,60.4288098357381,148.242915941271,0.061510393615271,0.032870066050043,1.51478523361903,1.95100068042948,1.22290113059456,,
